facility_id,facility_name,region_name,hours,distinct_published_values,smallest_step_pct,implied_stretchers,people_min,people_max,hour_pairs_scored,agree_pct,disagree_pct,blind_pct
51229185,HÔPITAL BROME-MISSISQUOI-PERKINS,Estrie,232,18,6.0,17,16,60,25858,63.5,29.1,7.4
51248243,CENTRE HOSPITALIER DE ST. MARY,Montréal,232,19,4.0,25,33,72,25897,63.4,29.6,7.0
51248219,HÔPITAL GÉNÉRAL DE MONTRÉAL,Montréal,232,19,3.0,33,54,95,25804,54.3,38.7,6.9
51217602,HÔPITAL SAINT-FRANÇOIS D'ASSISE,Capitale-Nationale,232,24,2.0,50,30,79,26056,72.6,20.7,6.7
51235190,HÔPITAL DOUGLAS,Montréal,232,18,12.0,8,1,19,24839,82.3,11.0,6.7
51229045,HÔPITAL DU HAUT-RICHELIEU,Montérégie,232,26,2.0,50,47,108,26205,64.0,30.0,5.9
51228278,HÔPITAL GÉNÉRAL DU LAKESHORE,Montréal,231,25,3.0,33,58,106,25714,58.1,36.1,5.7
51223279,L'HÔPITAL DE MONTRÉAL POUR ENFANTS,Montréal,232,22,8.0,12,13,98,26382,71.3,23.0,5.6
51229151,HÔPITAL ANNA-LABERGE,Montérégie,228,26,3.0,33,49,89,25113,60.6,34.2,5.3
51222800,CHU SAINTE-JUSTINE,Montréal,231,22,6.0,17,19,97,26060,78.0,16.7,5.3
51229102,HÔTEL-DIEU DE SOREL,Montérégie,232,29,5.0,20,22,67,26008,73.8,21.0,5.2
51218097,HÔPITAL DE VERDUN,Montréal,232,28,3.0,33,26,74,26057,57.1,37.9,5.0
51236313,HÔPITAL NOTRE-DAME,Montréal,231,22,2.0,50,43,88,25514,59.2,35.8,5.0
51228062,HÔPITAL PIERRE-LE GARDEUR,Lanaudière,229,30,2.0,50,75,141,25598,46.8,48.6,4.7
51246874,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINTE-AGATHE,Laurentides,232,26,5.0,20,23,67,25983,65.3,30.0,4.7
51223295,HÔPITAL ROYAL VICTORIA,Montréal,232,29,3.0,33,88,149,26274,65.7,29.8,4.6
51229193,HÔPITAL HONORÉ-MERCIER,Montérégie,231,27,3.0,33,28,84,25946,66.3,29.2,4.6
51218394,HÔPITAL DE CHICOUTIMI,Saguenay-Lac-Saint-Jean,231,29,2.0,50,22,79,26003,74.7,20.7,4.6
51244945,HÔPITAL DE LANAUDIÈRE ET CENTRE D'HÉBERGEMENT PARPHILIA-FERLAND,Lanaudière,232,35,2.0,50,50,121,26253,62.0,33.6,4.4
51228864,HÔPITAL DE SAINT-EUSTACHE,Laurentides,232,30,2.0,50,61,122,26212,60.4,35.3,4.3
51233914,HÔPITAL DE L'ENFANT-JÉSUS,Capitale-Nationale,232,30,2.0,50,46,105,26298,67.3,28.5,4.3
51235919,HÔPITAL SANTA CABRINI,Montréal,231,32,2.0,50,40,85,25909,75.1,20.6,4.3
51221711,HÔPITAL DE HULL,Outaouais,231,30,4.0,25,45,94,25698,71.3,24.6,4.1
51217594,CENTRE HOSPITALIER DE L'UNIVERSITÉ LAVAL,Capitale-Nationale,232,32,2.0,50,38,109,26325,73.5,22.4,4.1
51228880,HÔPITAL DE SAINT-JÉRÔME,Laurentides,232,28,2.0,50,70,150,26120,61.7,34.3,4.0
51216687,CHUS - HÔPITAL FLEURIMONT,Estrie,232,27,2.0,50,26,80,26224,80.0,16.2,3.8
51233799,HÔPITAL CHARLES-LE MOYNE,Montérégie,229,31,2.0,50,73,166,25692,54.5,41.9,3.7
51228757,HÔPITAL DE LA CITÉ-DE-LA-SANTÉ,Laval,231,38,2.0,50,95,173,26152,63.5,32.9,3.6
51228971,HÔPITAL DE SAINT-GEORGES,Chaudière-Appalaches,232,36,4.0,25,11,66,26160,74.7,21.7,3.6
51216695,CHUS - HÔTEL-DIEU DE SHERBROOKE,Estrie,232,37,2.0,50,48,100,25959,79.9,16.5,3.6
51221703,HÔPITAL DE GATINEAU,Outaouais,231,36,3.0,33,43,100,26051,75.8,20.7,3.5
51229011,HÔPITAL PIERRE-BOUCHER,Montérégie,232,38,2.0,50,86,142,26240,70.8,25.9,3.4
51227569,HÔTEL-DIEU DE LÉVIS,Chaudière-Appalaches,232,41,2.0,50,46,121,26380,71.8,24.8,3.4
12934659,HÔPITAL MAISONNEUVE-ROSEMONT,Montréal,231,41,1.0,100,78,164,26088,67.9,29.0,3.2
51236297,CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL,Montréal,231,40,1.0,100,86,167,26074,62.0,35.0,3.0
51248250,HÔPITAL GÉNÉRAL JUIF,Montréal,230,57,1.0,100,82,195,25973,83.4,14.2,2.4
