facility_id,facility_name,region,days_observed,hours_covered,best_hour,best_hour_mean_waiting,worst_hour,worst_hour_mean_waiting,swing,usable
51236156,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TROIS-PISTOLES","Bas-Saint-Laurent",10,24,03:00,0.0,16:00,5.4,5.4,yes
51236297,"CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL","Montréal",10,24,11:00,33.5,01:00,41.2,7.7,yes
51236313,"HÔPITAL NOTRE-DAME","Montréal",10,24,09:00,5.3,16:00,19.3,14.0,yes
51244804,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE BAIE-SAINT-PAUL","Capitale-Nationale",10,24,06:00,0.2,18:00,7.3,7.1,yes
51244945,"HÔPITAL DE LANAUDIÈRE ET CENTRE D'HÉBERGEMENT PARPHILIA-FERLAND","Lanaudière",10,24,06:00,15.8,22:00,46.8,31.0,yes
51245058,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE MANSFIELD-ET-PONTEFRACT","Outaouais",10,24,01:00,0.1,11:00,4.2,4.1,no
51245108,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE FERMONT","Côte-Nord",10,24,00:00,2.4,17:00,5.4,3.0,no
51245116,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA MINGANIE","Côte-Nord",10,24,00:00,0.1,10:00,2.8,2.7,no
51245132,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE PORT-CARTIER","Côte-Nord",10,24,03:00,0.0,17:00,6.3,6.3,yes
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",10,24,00:00,0.0,16:00,1.5,1.5,no
51245199,"CHSLD ET HÔPITAL PAUL-GILBERT","Chaudière-Appalaches",10,24,01:00,0.0,15:00,19.7,19.7,yes
51245223,"HÔPITAL DE MONTMAGNY","Chaudière-Appalaches",10,24,06:00,1.0,16:00,13.5,12.5,yes
51245231,"HÔPITAL DE THETFORD","Chaudière-Appalaches",10,24,04:00,2.9,15:00,17.7,14.8,yes
51245306,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX D'ARGENTEUIL","Laurentides",10,24,06:00,3.5,21:00,15.0,11.5,yes
51246874,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINTE-AGATHE","Laurentides",10,24,07:00,10.7,16:00,22.4,11.7,yes
51247302,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINT-RAYMOND","Capitale-Nationale",10,24,06:00,0.4,18:00,8.7,8.3,yes
51247344,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINT-MARC-DES-CARRIÈRES","Capitale-Nationale",10,24,06:00,0.2,15:00,5.7,5.5,yes
51247476,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TÉMISCAMING-KIPAWA","Abitibi-Témiscamingue",10,24,00:00,0.0,14:00,1.8,1.8,no
51247542,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE VILLE-MARIE","Abitibi-Témiscamingue",10,24,05:00,0.3,17:00,7.3,7.0,yes
51247559,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA SARRE","Abitibi-Témiscamingue",10,24,04:00,0.6,15:00,8.7,8.1,yes
51247583,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DES SOURCES","Estrie",10,24,06:00,0.6,20:00,14.2,13.6,yes
51247617,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA MRC DE COATICOOK","Estrie",10,24,00:00,0.0,12:00,17.0,17.0,yes
51247732,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE GRANDE-VALLÉE","Gaspésie-Îles-de-la-Madeleine",10,24,00:00,0.0,10:00,2.8,2.8,no
51247799,"HÔPITAL ET CLSC DE SAINTE-ANNE-DES-MONTS","Gaspésie-Îles-de-la-Madeleine",10,24,01:00,0.0,11:00,6.8,6.8,yes
51248201,"INSTITUT DE CARDIOLOGIE DE MONTRÉAL","Montréal",10,24,04:00,0.7,13:00,5.7,5.0,yes
51248219,"HÔPITAL GÉNÉRAL DE MONTRÉAL","Montréal",10,24,09:00,6.3,16:00,17.2,10.9,yes
51248243,"CENTRE HOSPITALIER DE ST. MARY","Montréal",10,24,05:00,10.9,16:00,18.9,8.0,yes
51248250,"HÔPITAL GÉNÉRAL JUIF","Montréal",10,24,06:00,12.2,16:00,49.4,37.2,yes
