facility_id,facility_name,region_name,slug,weekday,hour_local,n_readings,median_occupancy_pct,median_waiting
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Tue,13,1,25,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Tue,14,1,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Tue,15,1,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Tue,16,1,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Tue,17,1,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Tue,18,1,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Tue,19,1,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Tue,20,1,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Tue,21,1,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Tue,22,1,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Tue,23,1,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Wed,0,1,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Wed,1,1,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Wed,2,1,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Wed,3,1,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Wed,4,1,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Wed,5,1,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Wed,6,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Wed,7,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Wed,8,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Wed,9,2,0,0.5
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Wed,10,2,0,0.5
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Wed,11,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Wed,12,2,25,0.5
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Wed,13,2,37.5,2
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Wed,14,2,37.5,1
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Wed,15,2,25,1.5
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Wed,16,2,0,2
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Wed,17,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Wed,18,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Wed,19,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Wed,20,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Wed,21,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Wed,22,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Wed,23,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Thu,0,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Thu,1,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Thu,2,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Thu,3,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Thu,4,2,0,0
