region,facility_name,establishment,facility_id,percentage_step_points,derived_stretcher_count,distinct_values_published,min_published,max_published,hours_observed
Côte-Nord,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DES ESCOUMINS,SANTÉ QUÉBEC CÔTE-NORD,51218733,33,3,4,33,133,163
Côte-Nord,CLSC ET HÔPITAL LE ROYER,SANTÉ QUÉBEC CÔTE-NORD,51228765,10,10,10,30,120,163
Côte-Nord,HÔPITAL ET CLSC DE SEPT-ÎLES,SANTÉ QUÉBEC CÔTE-NORD,51232023,10,10,13,120,250,163
Estrie,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA MRC DE COATICOOK,SANTÉ QUÉBEC ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,51247617,16,6,5,17,133,163
Estrie,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE MEMPHRÉMAGOG,SANTÉ QUÉBEC ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,51219046,9,11,12,45,145,163
Estrie,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DES SOURCES,SANTÉ QUÉBEC ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,51247583,14,7,5,14,71,163
Estrie,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,SANTÉ QUÉBEC ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,51223832,20,5,7,20,160,163
Estrie,CHUS - HÔPITAL FLEURIMONT,SANTÉ QUÉBEC ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,51216687,2,50,27,44,117,163
Estrie,CHUS - HÔTEL-DIEU DE SHERBROOKE,SANTÉ QUÉBEC ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,51216695,2,50,36,80,164,163
Estrie,HÔPITAL BROME-MISSISQUOI-PERKINS,SANTÉ QUÉBEC ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,51229185,6,17,17,56,156,163
Estrie,HÔPITAL DE GRANBY,SANTÉ QUÉBEC ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,51228120,5,20,17,80,175,163
Gaspésie-Îles-de-la-Madeleine,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE GRANDE-VALLÉE,SANTÉ QUÉBEC GASPÉSIE,51247732,50,2,3,50,150,163
Gaspésie-Îles-de-la-Madeleine,CLSC ET CENTRE DE SERVICES AMBULATOIRES DE PASPÉBIAC,SANTÉ QUÉBEC GASPÉSIE,51220978,25,4,6,25,150,163
Gaspésie-Îles-de-la-Madeleine,HÔPITAL DE CHANDLER,SANTÉ QUÉBEC GASPÉSIE,51227775,12,8,7,25,100,163
Gaspésie-Îles-de-la-Madeleine,HÔPITAL DE GASPÉ,SANTÉ QUÉBEC GASPÉSIE,51220903,16,6,11,33,200,163
Gaspésie-Îles-de-la-Madeleine,HÔPITAL DE L'ARCHIPEL,SANTÉ QUÉBEC DES ÎLES,51227783,16,6,7,17,117,163
Gaspésie-Îles-de-la-Madeleine,HÔPITAL ET CLSC DE SAINTE-ANNE-DES-MONTS,SANTÉ QUÉBEC GASPÉSIE,51247799,16,6,6,17,100,163
Gaspésie-Îles-de-la-Madeleine,HÔPITAL ET GROUPE DE MÉDECINE DE FAMILLE UNIVERSITAIRE DE MARIA,SANTÉ QUÉBEC GASPÉSIE,51227908,10,10,10,20,120,163
Lanaudière,HÔPITAL DE LANAUDIÈRE ET CENTRE D'HÉBERGEMENT PARPHILIA-FERLAND,SANTÉ QUÉBEC LANAUDIÈRE,51244945,2,50,34,83,179,163
Lanaudière,HÔPITAL PIERRE-LE GARDEUR,SANTÉ QUÉBEC LANAUDIÈRE,51228062,2,50,30,72,143,163
Laurentides,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX D'ARGENTEUIL,SANTÉ QUÉBEC LAURENTIDES,51245306,12,8,13,13,163,163
Laurentides,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE RIVIÈRE-ROUGE,SANTÉ QUÉBEC LAURENTIDES,51217628,20,5,14,20,280,163
Laurentides,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINTE-AGATHE,SANTÉ QUÉBEC LAURENTIDES,51246874,5,20,24,67,200,163
Laurentides,HÔPITAL DE MONT-LAURIER,SANTÉ QUÉBEC LAURENTIDES,51217610,12,8,14,50,213,163
Laurentides,HÔPITAL DE SAINT-EUSTACHE,SANTÉ QUÉBEC LAURENTIDES,51228864,2,50,28,103,186,163
